l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,1.0,18.0
6.0,7.0,8.0,13.0,1.0,1.0,3.0,12.0
2.0,12.0,6.0,13.0,1.0,1.0,4.0,7.0
1.0,12.0,2.0,13.0,1.0,1.0,5.0,7.0
3.0,13.0,4.0,14.0,4.0,4.0,10.0,2.0
1.0,15.0,2.0,16.0,4.0,4.0,11.0,0.0
2.0,6.0,3.0,12.0,7.0,7.0,22.0,9.0
1.0,7.0,2.0,12.0,9.0,9.0,29.0,4.0
1.0,13.0,3.0,14.0,9.0,9.0,30.0,2.0
4.0,13.0,5.0,14.0,9.0,9.0,31.0,1.0
1.0,14.0,2.0,15.0,10.0,10.0,35.0,1.0
5.0,13.0,8.0,14.0,14.0,14.0,43.0,0.0
2.0,14.0,4.0,15.0,14.0,14.0,44.0,0.0
