l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,6.0,7.0,13.0,0.0,0.0,0.0,8.0
7.0,7.0,8.0,13.0,0.0,0.0,1.0,1.0
4.0,2.0,5.0,6.0,3.0,3.0,17.0,1.0
5.0,5.0,7.0,6.0,3.0,3.0,18.0,3.0
8.0,5.0,9.0,12.0,3.0,3.0,19.0,1.0
7.0,5.0,8.0,7.0,3.0,3.0,20.0,3.0
3.0,1.0,4.0,6.0,4.0,4.0,21.0,0.0
2.0,5.0,3.0,6.0,4.0,4.0,24.0,2.0
7.0,8.0,8.0,10.0,5.0,5.0,28.0,4.0
7.0,10.0,8.0,12.0,6.0,6.0,32.0,3.0
7.0,7.0,8.0,8.0,6.0,6.0,33.0,3.0
3.0,4.0,4.0,6.0,7.0,7.0,35.0,1.0
4.0,5.0,5.0,6.0,7.0,7.0,36.0,1.0
7.0,6.0,8.0,7.0,9.0,9.0,40.0,1.0
