l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,8.0
6.0,13.0,7.0,14.0,2.0,2.0,4.0,0.0
7.0,13.0,9.0,15.0,2.0,2.0,5.0,0.0
7.0,6.0,8.0,13.0,2.0,2.0,6.0,0.0
1.0,3.0,2.0,11.0,3.0,3.0,7.0,2.0
1.0,11.0,2.0,12.0,4.0,4.0,13.0,3.0
1.0,12.0,2.0,14.0,7.0,7.0,18.0,1.0
2.0,13.0,5.0,14.0,7.0,7.0,19.0,0.0
1.0,6.0,2.0,11.0,7.0,7.0,20.0,1.0
