l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,6.0,3.0,14.0,0.0,0.0,0.0,0.0
3.0,6.0,6.0,13.0,0.0,0.0,1.0,11.0
6.0,7.0,8.0,13.0,0.0,0.0,2.0,11.0
2.0,7.0,3.0,9.0,1.0,1.0,8.0,9.0
2.0,11.0,3.0,12.0,2.0,2.0,11.0,9.0
1.0,9.0,2.0,17.0,3.0,3.0,12.0,1.0
2.0,9.0,3.0,11.0,3.0,3.0,13.0,8.0
2.0,12.0,3.0,17.0,3.0,3.0,14.0,0.0
2.0,6.0,3.0,7.0,4.0,4.0,18.0,4.0
2.0,12.0,3.0,14.0,5.0,5.0,19.0,4.0
1.0,7.0,2.0,9.0,5.0,5.0,21.0,5.0
1.0,4.0,2.0,7.0,6.0,6.0,22.0,0.0
1.0,9.0,2.0,12.0,6.0,6.0,25.0,4.0
1.0,12.0,2.0,13.0,7.0,7.0,27.0,1.0
1.0,6.0,2.0,7.0,8.0,8.0,28.0,1.0
1.0,13.0,2.0,15.0,10.0,10.0,29.0,0.0
