l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,17.0
1.0,9.0,2.0,10.0,1.0,1.0,1.0,9.0
6.0,13.0,8.0,14.0,2.0,2.0,4.0,3.0
1.0,10.0,2.0,12.0,3.0,3.0,8.0,8.0
1.0,12.0,2.0,13.0,4.0,4.0,9.0,7.0
1.0,6.0,2.0,9.0,6.0,6.0,14.0,5.0
1.0,13.0,3.0,14.0,6.0,6.0,15.0,4.0
3.0,13.0,4.0,14.0,9.0,9.0,26.0,1.0
5.0,13.0,6.0,14.0,16.0,16.0,39.0,0.0
