l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0
3.0,6.0,6.0,13.0,0.0,0.0,1.0,27.0
6.0,7.0,7.0,12.0,0.0,0.0,2.0,16.0
-0.0,8.0,1.0,11.0,0.0,0.0,3.0,1.0
1.0,6.0,3.0,13.0,1.0,1.0,4.0,24.0
1.0,13.0,7.0,14.0,2.0,2.0,7.0,7.0
6.0,6.0,8.0,7.0,3.0,3.0,9.0,6.0
-0.0,9.0,1.0,14.0,6.0,6.0,13.0,1.0
1.0,13.0,4.0,14.0,7.0,7.0,14.0,8.0
1.0,4.0,2.0,5.0,10.0,10.0,15.0,1.0
-0.0,5.0,1.0,9.0,10.0,10.0,16.0,0.0
1.0,5.0,3.0,6.0,10.0,10.0,17.0,3.0
1.0,5.0,3.0,6.0,10.0,10.0,18.0,0.0
6.0,10.0,7.0,12.0,15.0,15.0,28.0,9.0
6.0,8.0,7.0,10.0,18.0,18.0,31.0,8.0
6.0,7.0,7.0,8.0,19.0,19.0,34.0,6.0
2.0,2.0,3.0,5.0,20.0,20.0,37.0,0.0
3.0,2.0,4.0,6.0,20.0,20.0,38.0,0.0
3.0,2.0,4.0,6.0,20.0,20.0,39.0,0.0
2.0,6.0,3.0,8.0,20.0,20.0,40.0,1.0
-0.0,6.0,1.0,8.0,25.0,25.0,44.0,0.0
-0.0,11.0,1.0,12.0,25.0,25.0,45.0,0.0
3.0,5.0,4.0,6.0,25.0,25.0,46.0,0.0
2.0,4.0,3.0,5.0,25.0,25.0,47.0,0.0
2.0,8.0,3.0,13.0,27.0,27.0,48.0,0.0
