l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,3.0
1.0,0.0,7.0,4.0,2.0,2.0,2.0,4.0
7.0,0.0,8.0,3.0,2.0,2.0,3.0,4.0
1.0,7.0,2.0,11.0,3.0,3.0,6.0,14.0
7.0,0.0,8.0,2.0,4.0,4.0,9.0,0.0
7.0,3.0,8.0,4.0,5.0,5.0,10.0,2.0
7.0,5.0,9.0,6.0,6.0,6.0,11.0,3.0
7.0,6.0,8.0,13.0,6.0,6.0,16.0,18.0
5.0,6.0,6.0,8.0,7.0,7.0,21.0,4.0
6.0,4.0,7.0,13.0,7.0,7.0,22.0,0.0
7.0,4.0,8.0,5.0,7.0,7.0,23.0,1.0
7.0,4.0,8.0,5.0,7.0,7.0,24.0,0.0
1.0,6.0,5.0,7.0,9.0,9.0,35.0,8.0
2.0,7.0,3.0,8.0,9.0,9.0,36.0,11.0
3.0,7.0,7.0,9.0,9.0,9.0,37.0,5.0
2.0,5.0,6.0,6.0,10.0,10.0,39.0,0.0
1.0,5.0,2.0,6.0,10.0,10.0,40.0,2.0
5.0,6.0,7.0,7.0,10.0,10.0,41.0,3.0
5.0,5.0,7.0,6.0,11.0,11.0,42.0,1.0
2.0,5.0,3.0,6.0,13.0,13.0,48.0,1.0
5.0,6.0,6.0,7.0,14.0,14.0,49.0,0.0
3.0,4.0,4.0,6.0,17.0,17.0,54.0,0.0
4.0,4.0,5.0,7.0,17.0,17.0,55.0,0.0
5.0,4.0,7.0,5.0,17.0,17.0,56.0,0.0
5.0,4.0,7.0,5.0,17.0,17.0,57.0,0.0
3.0,7.0,5.0,8.0,20.0,20.0,61.0,3.0
6.0,6.0,7.0,7.0,22.0,22.0,63.0,0.0
