l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,6.0,6.0,13.0,0.0,0.0,1.0,23.0
1.0,6.0,3.0,13.0,1.0,1.0,4.0,21.0
6.0,12.0,7.0,13.0,1.0,1.0,6.0,19.0
1.0,13.0,7.0,14.0,2.0,2.0,7.0,6.0
7.0,13.0,8.0,14.0,2.0,2.0,8.0,4.0
3.0,14.0,5.0,15.0,6.0,6.0,11.0,2.0
7.0,11.0,8.0,12.0,11.0,11.0,20.0,10.0
7.0,12.0,8.0,13.0,12.0,12.0,23.0,9.0
2.0,14.0,3.0,15.0,14.0,14.0,24.0,2.0
6.0,10.0,7.0,12.0,15.0,15.0,28.0,5.0
7.0,10.0,8.0,11.0,15.0,15.0,29.0,1.0
6.0,8.0,7.0,10.0,18.0,18.0,31.0,4.0
1.0,14.0,2.0,15.0,18.0,18.0,33.0,1.0
7.0,9.0,8.0,10.0,23.0,23.0,42.0,0.0
