l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,5.0,12.0,0.0,0.0,0.0,21.0
5.0,6.0,8.0,12.0,0.0,0.0,1.0,21.0
2.0,2.0,5.0,5.0,2.0,2.0,2.0,1.0
5.0,2.0,8.0,6.0,2.0,2.0,3.0,1.0
5.0,2.0,8.0,6.0,2.0,2.0,4.0,0.0
5.0,5.0,8.0,6.0,3.0,3.0,5.0,7.0
1.0,4.0,3.0,5.0,4.0,4.0,6.0,2.0
3.0,4.0,4.0,5.0,14.0,14.0,17.0,0.0
7.0,0.0,8.0,5.0,19.0,19.0,22.0,0.0
5.0,4.0,6.0,5.0,19.0,19.0,29.0,0.0
6.0,3.0,7.0,5.0,19.0,19.0,30.0,0.0
