l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,7.0,12.0,0.0,0.0,0.0,18.0
7.0,5.0,8.0,11.0,0.0,0.0,1.0,4.0
7.0,8.0,8.0,14.0,2.0,2.0,5.0,0.0
1.0,12.0,7.0,14.0,2.0,2.0,6.0,0.0
1.0,12.0,5.0,13.0,4.0,4.0,8.0,10.0
7.0,11.0,8.0,12.0,4.0,4.0,9.0,10.0
5.0,12.0,8.0,13.0,6.0,6.0,11.0,7.0
2.0,13.0,6.0,14.0,6.0,6.0,12.0,1.0
7.0,7.0,8.0,11.0,6.0,6.0,14.0,10.0
6.0,13.0,8.0,14.0,7.0,7.0,15.0,5.0
5.0,13.0,6.0,14.0,8.0,8.0,19.0,2.0
2.0,13.0,4.0,14.0,9.0,9.0,20.0,3.0
7.0,12.0,8.0,13.0,11.0,11.0,29.0,1.0
4.0,13.0,5.0,14.0,13.0,13.0,31.0,2.0
7.0,9.0,8.0,10.0,13.0,13.0,35.0,0.0
5.0,12.0,6.0,13.0,17.0,17.0,37.0,0.0
6.0,12.0,7.0,13.0,18.0,18.0,42.0,0.0
