l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,4.0,3.0,13.0,0.0,0.0,0.0,2.0
3.0,5.0,7.0,12.0,0.0,0.0,1.0,24.0
7.0,9.0,8.0,11.0,0.0,0.0,3.0,18.0
7.0,11.0,8.0,13.0,1.0,1.0,4.0,18.0
3.0,12.0,7.0,13.0,1.0,1.0,5.0,20.0
7.0,7.0,8.0,9.0,1.0,1.0,6.0,2.0
1.0,8.0,3.0,15.0,3.0,3.0,9.0,13.0
3.0,13.0,8.0,15.0,3.0,3.0,10.0,1.0
7.0,8.0,8.0,10.0,4.0,4.0,11.0,0.0
1.0,7.0,3.0,8.0,4.0,4.0,12.0,16.0
2.0,6.0,3.0,13.0,5.0,5.0,13.0,2.0
7.0,8.0,8.0,9.0,5.0,5.0,14.0,13.0
3.0,13.0,5.0,15.0,6.0,6.0,15.0,6.0
5.0,13.0,7.0,14.0,6.0,6.0,16.0,8.0
5.0,13.0,7.0,14.0,6.0,6.0,17.0,0.0
1.0,15.0,3.0,16.0,6.0,6.0,19.0,1.0
5.0,13.0,6.0,14.0,10.0,10.0,28.0,0.0
7.0,13.0,8.0,14.0,11.0,11.0,29.0,4.0
3.0,13.0,4.0,14.0,13.0,13.0,30.0,3.0
2.0,8.0,3.0,12.0,20.0,20.0,32.0,4.0
1.0,8.0,2.0,14.0,21.0,21.0,34.0,3.0
2.0,12.0,3.0,14.0,21.0,21.0,35.0,3.0
1.0,14.0,3.0,15.0,23.0,23.0,39.0,1.0
4.0,13.0,5.0,14.0,23.0,23.0,40.0,1.0
