l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,15.0
7.0,5.0,8.0,6.0,2.0,2.0,1.0,3.0
8.0,5.0,9.0,15.0,2.0,2.0,2.0,0.0
9.0,9.0,10.0,11.0,2.0,2.0,3.0,0.0
6.0,13.0,8.0,14.0,2.0,2.0,4.0,0.0
7.0,4.0,8.0,5.0,3.0,3.0,8.0,1.0
