l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,19.0
1.0,6.0,2.0,13.0,1.0,1.0,1.0,11.0
7.0,13.0,9.0,20.0,2.0,2.0,2.0,1.0
2.0,19.0,3.0,20.0,2.0,2.0,3.0,1.0
2.0,15.0,3.0,16.0,2.0,2.0,4.0,1.0
3.0,15.0,5.0,20.0,2.0,2.0,5.0,1.0
5.0,14.0,7.0,20.0,2.0,2.0,6.0,1.0
3.0,0.0,6.0,1.0,2.0,2.0,7.0,1.0
6.0,0.0,9.0,2.0,2.0,2.0,8.0,1.0
2.0,5.0,6.0,6.0,3.0,3.0,9.0,5.0
1.0,5.0,2.0,6.0,3.0,3.0,10.0,10.0
2.0,5.0,4.0,6.0,4.0,4.0,11.0,4.0
1.0,6.0,2.0,12.0,5.0,5.0,12.0,2.0
6.0,5.0,7.0,6.0,5.0,5.0,13.0,3.0
-0.0,5.0,1.0,15.0,6.0,6.0,14.0,1.0
1.0,13.0,3.0,15.0,6.0,6.0,15.0,4.0
3.0,13.0,4.0,14.0,6.0,6.0,16.0,2.0
1.0,15.0,2.0,16.0,6.0,6.0,17.0,1.0
1.0,15.0,2.0,16.0,6.0,6.0,18.0,0.0
1.0,4.0,3.0,5.0,6.0,6.0,19.0,4.0
2.0,0.0,3.0,4.0,8.0,8.0,20.0,0.0
3.0,1.0,6.0,5.0,8.0,8.0,21.0,0.0
6.0,2.0,9.0,5.0,8.0,8.0,22.0,0.0
2.0,18.0,3.0,19.0,8.0,8.0,23.0,0.0
3.0,4.0,5.0,5.0,10.0,10.0,24.0,2.0
1.0,3.0,3.0,4.0,10.0,10.0,25.0,0.0
5.0,4.0,7.0,5.0,11.0,11.0,26.0,1.0
7.0,4.0,8.0,6.0,11.0,11.0,27.0,1.0
7.0,4.0,8.0,6.0,11.0,11.0,28.0,0.0
1.0,6.0,2.0,13.0,12.0,12.0,29.0,0.0
4.0,13.0,8.0,14.0,14.0,14.0,30.0,0.0
3.0,14.0,6.0,15.0,14.0,14.0,31.0,0.0
4.0,13.0,5.0,14.0,15.0,15.0,32.0,0.0
8.0,6.0,9.0,13.0,20.0,20.0,33.0,0.0
1.0,13.0,3.0,14.0,21.0,21.0,34.0,0.0
