l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,20.0
1.0,8.0,2.0,15.0,1.0,1.0,1.0,0.0
2.0,13.0,6.0,15.0,1.0,1.0,2.0,0.0
6.0,13.0,8.0,14.0,1.0,1.0,3.0,1.0
6.0,13.0,8.0,14.0,1.0,1.0,4.0,0.0
8.0,5.0,9.0,17.0,2.0,2.0,5.0,0.0
9.0,6.0,10.0,16.0,2.0,2.0,6.0,0.0
5.0,14.0,7.0,15.0,2.0,2.0,7.0,0.0
3.0,13.0,6.0,14.0,2.0,2.0,8.0,1.0
7.0,14.0,8.0,17.0,2.0,2.0,9.0,0.0
7.0,14.0,8.0,17.0,2.0,2.0,10.0,0.0
2.0,5.0,8.0,6.0,3.0,3.0,11.0,12.0
1.0,6.0,2.0,13.0,4.0,4.0,12.0,3.0
2.0,0.0,3.0,5.0,5.0,5.0,13.0,0.0
3.0,1.0,8.0,5.0,5.0,5.0,14.0,0.0
1.0,2.0,2.0,6.0,5.0,5.0,15.0,6.0
-0.0,6.0,1.0,12.0,6.0,6.0,16.0,0.0
1.0,13.0,2.0,14.0,6.0,6.0,17.0,1.0
2.0,4.0,3.0,5.0,6.0,6.0,18.0,10.0
1.0,8.0,2.0,11.0,9.0,9.0,19.0,4.0
2.0,3.0,6.0,4.0,10.0,10.0,20.0,4.0
3.0,4.0,8.0,5.0,10.0,10.0,21.0,6.0
6.0,3.0,8.0,4.0,11.0,11.0,22.0,3.0
8.0,3.0,9.0,10.0,11.0,11.0,23.0,0.0
8.0,3.0,9.0,10.0,11.0,11.0,24.0,0.0
1.0,6.0,2.0,8.0,13.0,13.0,25.0,4.0
2.0,3.0,3.0,4.0,13.0,13.0,26.0,0.0
1.0,11.0,2.0,13.0,15.0,15.0,27.0,1.0
2.0,13.0,3.0,14.0,15.0,15.0,28.0,0.0
2.0,2.0,6.0,3.0,16.0,16.0,29.0,0.0
3.0,4.0,4.0,5.0,17.0,17.0,30.0,0.0
1.0,5.0,2.0,6.0,18.0,18.0,31.0,0.0
8.0,9.0,9.0,11.0,20.0,20.0,32.0,0.0
