l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,6.0,7.0,13.0,0.0,0.0,0.0,24.0
4.0,13.0,5.0,14.0,3.0,3.0,17.0,7.0
5.0,13.0,6.0,15.0,3.0,3.0,20.0,7.0
7.0,11.0,8.0,13.0,5.0,5.0,27.0,15.0
1.0,13.0,4.0,14.0,9.0,9.0,35.0,6.0
7.0,8.0,8.0,9.0,19.0,19.0,60.0,6.0
7.0,9.0,8.0,10.0,20.0,20.0,61.0,6.0
1.0,14.0,2.0,16.0,24.0,24.0,62.0,0.0
2.0,14.0,3.0,15.0,26.0,26.0,63.0,0.0
