l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,4.0,3.0,12.0,0.0,0.0,0.0,1.0
3.0,5.0,5.0,12.0,0.0,0.0,1.0,17.0
5.0,5.0,8.0,11.0,0.0,0.0,2.0,17.0
1.0,6.0,3.0,13.0,1.0,1.0,3.0,1.0
3.0,12.0,5.0,13.0,1.0,1.0,4.0,10.0
5.0,11.0,8.0,13.0,1.0,1.0,5.0,9.0
2.0,4.0,3.0,10.0,3.0,3.0,10.0,5.0
1.0,12.0,3.0,13.0,4.0,4.0,13.0,8.0
1.0,2.0,2.0,11.0,5.0,5.0,15.0,5.0
2.0,4.0,3.0,10.0,5.0,5.0,18.0,0.0
2.0,10.0,3.0,11.0,5.0,5.0,19.0,11.0
1.0,11.0,3.0,12.0,7.0,7.0,25.0,7.0
2.0,9.0,3.0,10.0,10.0,10.0,35.0,7.0
2.0,6.0,3.0,9.0,11.0,11.0,36.0,5.0
1.0,8.0,2.0,11.0,11.0,11.0,37.0,4.0
1.0,6.0,2.0,8.0,12.0,12.0,38.0,2.0
5.0,11.0,7.0,12.0,13.0,13.0,41.0,0.0
2.0,11.0,3.0,13.0,14.0,14.0,43.0,1.0
2.0,8.0,3.0,9.0,15.0,15.0,44.0,0.0
