l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,6.0,7.0,13.0,0.0,0.0,0.0,8.0
7.0,7.0,8.0,13.0,0.0,0.0,1.0,7.0
1.0,13.0,4.0,14.0,1.0,1.0,2.0,0.0
7.0,6.0,8.0,7.0,4.0,4.0,3.0,1.0
8.0,7.0,9.0,16.0,5.0,5.0,4.0,1.0
2.0,13.0,5.0,14.0,5.0,5.0,5.0,0.0
5.0,13.0,8.0,15.0,5.0,5.0,6.0,1.0
5.0,13.0,8.0,15.0,5.0,5.0,7.0,0.0
7.0,6.0,8.0,13.0,7.0,7.0,8.0,0.0
4.0,13.0,5.0,14.0,8.0,8.0,9.0,0.0
8.0,6.0,9.0,7.0,8.0,8.0,10.0,0.0
