l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,23.0
1.0,6.0,2.0,13.0,1.0,1.0,1.0,5.0
2.0,0.0,6.0,4.0,2.0,2.0,2.0,4.0
1.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0
6.0,0.0,8.0,3.0,2.0,2.0,4.0,4.0
1.0,17.0,7.0,20.0,2.0,2.0,5.0,2.0
7.0,17.0,8.0,20.0,2.0,2.0,6.0,2.0
1.0,13.0,5.0,15.0,3.0,3.0,7.0,1.0
5.0,13.0,8.0,14.0,3.0,3.0,8.0,7.0
5.0,13.0,8.0,14.0,3.0,3.0,9.0,0.0
6.0,3.0,8.0,4.0,4.0,4.0,10.0,3.0
1.0,4.0,2.0,8.0,5.0,5.0,11.0,2.0
2.0,4.0,8.0,6.0,5.0,5.0,12.0,0.0
2.0,4.0,8.0,6.0,5.0,5.0,13.0,0.0
7.0,5.0,8.0,6.0,7.0,7.0,14.0,5.0
8.0,5.0,9.0,13.0,7.0,7.0,15.0,4.0
8.0,5.0,9.0,13.0,7.0,7.0,16.0,0.0
1.0,13.0,3.0,14.0,8.0,8.0,17.0,7.0
2.0,4.0,4.0,6.0,10.0,10.0,18.0,2.0
4.0,5.0,7.0,6.0,10.0,10.0,19.0,1.0
1.0,8.0,2.0,12.0,10.0,10.0,20.0,9.0
9.0,6.0,10.0,14.0,11.0,11.0,21.0,2.0
7.0,14.0,8.0,15.0,11.0,11.0,22.0,2.0
8.0,13.0,9.0,16.0,11.0,11.0,23.0,1.0
8.0,4.0,9.0,5.0,11.0,11.0,24.0,2.0
3.0,13.0,4.0,14.0,13.0,13.0,25.0,5.0
1.0,12.0,2.0,13.0,14.0,14.0,26.0,7.0
1.0,6.0,2.0,8.0,15.0,15.0,27.0,7.0
9.0,14.0,10.0,20.0,17.0,17.0,28.0,0.0
7.0,15.0,8.0,17.0,17.0,17.0,29.0,1.0
8.0,16.0,9.0,20.0,17.0,17.0,30.0,0.0
8.0,0.0,9.0,4.0,17.0,17.0,31.0,0.0
9.0,0.0,10.0,6.0,17.0,17.0,32.0,0.0
7.0,1.0,8.0,3.0,17.0,17.0,33.0,0.0
6.0,5.0,7.0,6.0,17.0,17.0,34.0,1.0
7.0,4.0,8.0,5.0,17.0,17.0,35.0,1.0
4.0,13.0,6.0,14.0,18.0,18.0,36.0,1.0
8.0,13.0,9.0,14.0,19.0,19.0,37.0,1.0
8.0,14.0,9.0,15.0,20.0,20.0,38.0,0.0
9.0,5.0,10.0,6.0,20.0,20.0,39.0,0.0
1.0,5.0,4.0,6.0,22.0,22.0,40.0,0.0
4.0,13.0,5.0,14.0,23.0,23.0,41.0,1.0
1.0,14.0,3.0,16.0,24.0,24.0,42.0,1.0
3.0,14.0,7.0,15.0,24.0,24.0,43.0,0.0
3.0,14.0,7.0,15.0,24.0,24.0,44.0,0.0
3.0,15.0,6.0,16.0,26.0,26.0,45.0,0.0
1.0,16.0,7.0,17.0,26.0,26.0,46.0,0.0
4.0,4.0,7.0,5.0,27.0,27.0,47.0,0.0
1.0,4.0,2.0,6.0,27.0,27.0,48.0,0.0
