l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,6.0,7.0,0.0,0.0,0.0,6.0
1.0,7.0,7.0,13.0,0.0,0.0,1.0,11.0
7.0,7.0,8.0,13.0,0.0,0.0,2.0,8.0
7.0,7.0,8.0,13.0,1.0,1.0,3.0,0.0
1.0,6.0,7.0,7.0,1.0,1.0,4.0,0.0
7.0,8.0,8.0,14.0,2.0,2.0,5.0,0.0
1.0,13.0,5.0,15.0,2.0,2.0,6.0,1.0
5.0,13.0,7.0,14.0,2.0,2.0,7.0,2.0
5.0,13.0,7.0,14.0,2.0,2.0,8.0,0.0
2.0,5.0,6.0,6.0,3.0,3.0,9.0,2.0
6.0,5.0,8.0,7.0,3.0,3.0,10.0,3.0
6.0,5.0,8.0,7.0,3.0,3.0,11.0,0.0
9.0,0.0,10.0,3.0,4.0,4.0,12.0,0.0
9.0,3.0,10.0,17.0,4.0,4.0,13.0,0.0
9.0,17.0,10.0,20.0,4.0,4.0,14.0,0.0
7.0,13.0,8.0,17.0,4.0,4.0,15.0,0.0
7.0,3.0,8.0,5.0,4.0,4.0,16.0,1.0
8.0,3.0,9.0,4.0,4.0,4.0,17.0,0.0
8.0,4.0,9.0,16.0,4.0,4.0,18.0,0.0
8.0,16.0,9.0,17.0,4.0,4.0,19.0,0.0
8.0,3.0,9.0,4.0,4.0,4.0,20.0,0.0
8.0,4.0,9.0,16.0,4.0,4.0,21.0,0.0
8.0,16.0,9.0,17.0,4.0,4.0,22.0,0.0
6.0,6.0,8.0,7.0,5.0,5.0,23.0,2.0
1.0,5.0,2.0,7.0,6.0,6.0,24.0,3.0
2.0,5.0,3.0,6.0,6.0,6.0,25.0,2.0
2.0,5.0,3.0,6.0,6.0,6.0,26.0,0.0
1.0,13.0,5.0,14.0,9.0,9.0,27.0,0.0
0.0,3.0,1.0,4.0,10.0,10.0,28.0,0.0
0.0,4.0,1.0,18.0,10.0,10.0,29.0,0.0
0.0,18.0,1.0,19.0,10.0,10.0,30.0,0.0
1.0,4.0,2.0,5.0,10.0,10.0,31.0,1.0
1.0,5.0,2.0,15.0,10.0,10.0,32.0,0.0
1.0,15.0,2.0,18.0,10.0,10.0,33.0,0.0
2.0,15.0,3.0,17.0,10.0,10.0,34.0,0.0
2.0,15.0,3.0,17.0,10.0,10.0,35.0,0.0
2.0,6.0,3.0,7.0,10.0,10.0,36.0,0.0
1.0,3.0,4.0,4.0,11.0,11.0,37.0,0.0
2.0,4.0,7.0,5.0,11.0,11.0,38.0,0.0
