l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,7.0,12.0,0.0,0.0,0.0,23.0
7.0,5.0,8.0,12.0,0.0,0.0,1.0,4.0
7.0,8.0,8.0,14.0,2.0,2.0,2.0,8.0
1.0,12.0,4.0,15.0,2.0,2.0,3.0,2.0
4.0,12.0,7.0,14.0,2.0,2.0,4.0,0.0
4.0,12.0,7.0,14.0,2.0,2.0,5.0,0.0
2.0,3.0,8.0,5.0,3.0,3.0,6.0,0.0
4.0,12.0,5.0,13.0,4.0,4.0,7.0,14.0
5.0,12.0,7.0,13.0,6.0,6.0,8.0,15.0
7.0,7.0,8.0,8.0,6.0,6.0,9.0,14.0
1.0,12.0,4.0,14.0,7.0,7.0,10.0,1.0
4.0,13.0,7.0,14.0,7.0,7.0,11.0,2.0
2.0,12.0,4.0,13.0,8.0,8.0,12.0,10.0
7.0,6.0,8.0,7.0,8.0,8.0,13.0,7.0
4.0,13.0,5.0,14.0,9.0,9.0,14.0,2.0
-0.0,6.0,1.0,10.0,10.0,10.0,15.0,0.0
1.0,3.0,2.0,5.0,10.0,10.0,16.0,0.0
2.0,4.0,4.0,5.0,10.0,10.0,17.0,0.0
1.0,12.0,2.0,13.0,10.0,10.0,18.0,5.0
7.0,5.0,8.0,6.0,11.0,11.0,19.0,3.0
8.0,5.0,9.0,13.0,11.0,11.0,20.0,3.0
8.0,5.0,9.0,13.0,11.0,11.0,21.0,0.0
1.0,13.0,2.0,15.0,13.0,13.0,22.0,1.0
2.0,13.0,4.0,14.0,13.0,13.0,23.0,2.0
2.0,13.0,4.0,14.0,13.0,13.0,24.0,0.0
7.0,8.0,8.0,12.0,15.0,15.0,25.0,8.0
1.0,13.0,2.0,14.0,16.0,16.0,26.0,0.0
7.0,12.0,8.0,13.0,16.0,16.0,27.0,7.0
9.0,0.0,10.0,3.0,18.0,18.0,28.0,1.0
9.0,3.0,10.0,17.0,18.0,18.0,29.0,1.0
9.0,17.0,10.0,20.0,18.0,18.0,30.0,1.0
6.0,13.0,7.0,14.0,18.0,18.0,31.0,2.0
8.0,13.0,9.0,18.0,18.0,18.0,32.0,1.0
7.0,5.0,8.0,13.0,18.0,18.0,33.0,0.0
8.0,5.0,9.0,13.0,18.0,18.0,34.0,0.0
7.0,2.0,8.0,5.0,18.0,18.0,35.0,1.0
8.0,1.0,9.0,5.0,18.0,18.0,36.0,1.0
7.0,13.0,8.0,17.0,18.0,18.0,37.0,1.0
5.0,13.0,6.0,15.0,21.0,21.0,38.0,0.0
6.0,14.0,7.0,16.0,21.0,21.0,39.0,0.0
7.0,17.0,8.0,19.0,21.0,21.0,40.0,0.0
8.0,18.0,9.0,19.0,21.0,21.0,41.0,0.0
2.0,14.0,3.0,15.0,23.0,23.0,42.0,0.0
5.0,13.0,6.0,14.0,23.0,23.0,43.0,0.0
