l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,5.0,12.0,0.0,0.0,1.0,20.0
5.0,5.0,8.0,11.0,0.0,0.0,2.0,20.0
2.0,10.0,3.0,11.0,5.0,5.0,19.0,14.0
1.0,11.0,3.0,12.0,7.0,7.0,25.0,9.0
2.0,9.0,3.0,10.0,10.0,10.0,35.0,10.0
1.0,8.0,2.0,11.0,11.0,11.0,37.0,6.0
1.0,6.0,2.0,8.0,12.0,12.0,38.0,4.0
5.0,11.0,7.0,12.0,13.0,13.0,41.0,1.0
2.0,8.0,3.0,9.0,15.0,15.0,44.0,2.0
2.0,7.0,3.0,8.0,19.0,19.0,45.0,1.0
1.0,5.0,2.0,6.0,20.0,20.0,46.0,0.0
2.0,5.0,3.0,7.0,20.0,20.0,47.0,0.0
7.0,11.0,8.0,12.0,20.0,20.0,49.0,0.0
